product_name,sugar_g,carbs_g,calories,sodium_mg,fat_g,age_group,bmi_category,diabetes_type,label
Sarden ABC saus tomat,2.0,9.0,100.0,0.0,2.0,adult,overweight,0,Recommended
Sarden ABC saus tomat,2.0,9.0,100.0,0.0,2.0,adult,normal,1,Recommended
Sarden ABC saus tomat,2.0,9.0,100.0,0.0,2.0,adult,overweight,2,Recommended
Sarden ABC saus tomat,2.0,9.0,100.0,0.0,2.0,elderly,normal,2,Recommended
Sarden ABC saus tomat,2.0,9.0,100.0,0.0,2.0,child,normal,1,Recommended
Sarden ABC saus tomat,2.0,9.0,100.0,0.0,2.0,child,normal,0,Recommended
"Parede baleh, masakan",0.0,5.5,87.0,416.0,2.5,adult,normal,0,Recommended
"Parede baleh, masakan",0.0,5.5,87.0,416.0,2.5,adult,overweight,0,Recommended
"Parede baleh, masakan",0.0,5.5,87.0,416.0,2.5,adult,normal,1,Caution
"Parede baleh, masakan",0.0,5.5,87.0,416.0,2.5,adult,overweight,2,Caution
"Parede baleh, masakan",0.0,5.5,87.0,416.0,2.5,elderly,normal,2,Caution
"Parede baleh, masakan",0.0,5.5,87.0,416.0,2.5,child,normal,1,Caution
"Parede baleh, masakan",0.0,5.5,87.0,416.0,2.5,child,normal,0,Recommended
Nasi gurih,0.0,26.0,190.0,296.0,7.5,adult,normal,0,Recommended
Nasi gurih,0.0,26.0,190.0,296.0,7.5,adult,overweight,0,Caution
Nasi gurih,0.0,26.0,190.0,296.0,7.5,adult,normal,1,Caution
Nasi gurih,0.0,26.0,190.0,296.0,7.5,adult,overweight,2,Caution
Nasi gurih,0.0,26.0,190.0,296.0,7.5,elderly,normal,2,Caution
Nasi gurih,0.0,26.0,190.0,296.0,7.5,child,normal,1,Caution
Nasi gurih,0.0,26.0,190.0,296.0,7.5,child,normal,0,Recommended
You C100 Orange water,40.0,40.0,160.0,0.0,0.0,adult,normal,0,Caution
You C100 Orange water,40.0,40.0,160.0,0.0,0.0,adult,overweight,0,Caution
You C100 Orange water,40.0,40.0,160.0,0.0,0.0,adult,normal,1,Not Recommended
You C100 Orange water,40.0,40.0,160.0,0.0,0.0,adult,overweight,2,Not Recommended
You C100 Orange water,40.0,40.0,160.0,0.0,0.0,elderly,normal,2,Not Recommended
You C100 Orange water,40.0,40.0,160.0,0.0,0.0,child,normal,1,Not Recommended
You C100 Orange water,40.0,40.0,160.0,0.0,0.0,child,normal,0,Caution
Diamond Milk Susu UHT Full Cream,0.0,10.0,120.0,100.0,6.0,adult,normal,0,Recommended
Diamond Milk Susu UHT Full Cream,0.0,10.0,120.0,100.0,6.0,adult,overweight,0,Recommended
Diamond Milk Susu UHT Full Cream,0.0,10.0,120.0,100.0,6.0,adult,normal,1,Caution
Diamond Milk Susu UHT Full Cream,0.0,10.0,120.0,100.0,6.0,adult,overweight,2,Caution
Diamond Milk Susu UHT Full Cream,0.0,10.0,120.0,100.0,6.0,elderly,normal,2,Caution
Diamond Milk Susu UHT Full Cream,0.0,10.0,120.0,100.0,6.0,child,normal,1,Caution
Diamond Milk Susu UHT Full Cream,0.0,10.0,120.0,100.0,6.0,child,normal,0,Recommended
Kacang tolo / tunggak,0.0,56.6,331.0,15.0,1.9,adult,normal,0,Caution
Kacang tolo / tunggak,0.0,56.6,331.0,15.0,1.9,adult,overweight,0,Caution
Kacang tolo / tunggak,0.0,56.6,331.0,15.0,1.9,adult,normal,1,Not Recommended
Kacang tolo / tunggak,0.0,56.6,331.0,15.0,1.9,adult,overweight,2,Not Recommended
Kacang tolo / tunggak,0.0,56.6,331.0,15.0,1.9,elderly,normal,2,Not Recommended
Kacang tolo / tunggak,0.0,56.6,331.0,15.0,1.9,child,normal,1,Not Recommended
Kacang tolo / tunggak,0.0,56.6,331.0,15.0,1.9,child,normal,0,Caution
"Babi, daging, kurus, segar",0.0,0.0,371.0,97.0,35.0,adult,normal,0,Caution
"Babi, daging, kurus, segar",0.0,0.0,371.0,97.0,35.0,adult,overweight,0,Caution
"Babi, daging, kurus, segar",0.0,0.0,371.0,97.0,35.0,adult,normal,1,Caution
"Babi, daging, kurus, segar",0.0,0.0,371.0,97.0,35.0,adult,overweight,2,Not Recommended
"Babi, daging, kurus, segar",0.0,0.0,371.0,97.0,35.0,elderly,normal,2,Not Recommended
"Babi, daging, kurus, segar",0.0,0.0,371.0,97.0,35.0,child,normal,1,Caution
"Babi, daging, kurus, segar",0.0,0.0,371.0,97.0,35.0,child,normal,0,Caution
Keripik tempe abadi besar,0.0,39.8,556.0,0.0,37.1,adult,normal,0,Caution
Keripik tempe abadi besar,0.0,39.8,556.0,0.0,37.1,adult,overweight,0,Caution
Keripik tempe abadi besar,0.0,39.8,556.0,0.0,37.1,adult,normal,1,Not Recommended
Keripik tempe abadi besar,0.0,39.8,556.0,0.0,37.1,adult,overweight,2,Not Recommended
Keripik tempe abadi besar,0.0,39.8,556.0,0.0,37.1,elderly,normal,2,Not Recommended
Keripik tempe abadi besar,0.0,39.8,556.0,0.0,37.1,child,normal,1,Not Recommended
Keripik tempe abadi besar,0.0,39.8,556.0,0.0,37.1,child,normal,0,Caution
Sunduk lawang,0.0,32.4,181.0,0.0,1.3,adult,normal,0,Recommended
Sunduk lawang,0.0,32.4,181.0,0.0,1.3,adult,overweight,0,Recommended
Sunduk lawang,0.0,32.4,181.0,0.0,1.3,adult,normal,1,Caution
Sunduk lawang,0.0,32.4,181.0,0.0,1.3,adult,overweight,2,Caution
